id,description,label
1,"Looking for interns at StartUpX in Software Developer. Paid internship (₹10000) for 1 month, requires Excel, Photoshop.",genuine
2,"Reliance offers an exciting 6 weeks internship in HR Intern. Skills required: HTML/CSS, Java. Stipend ₹10000.",genuine
3,"Looking for interns at Microsoft in Software Developer. Paid internship (₹5000) for 3 months, requires Marketing, Excel.",genuine
4,"Internship opportunity at TechVision for Software Developer. Duration 2 months, stipend ₹10000, requires skills in Python, SQL.",genuine
5,"Google is offering a 2 months internship in Marketing Intern. Applicants should know Marketing, SQL. Stipend is ₹5000.",genuine
6,"Reliance offers an exciting 2 months internship in Marketing Intern. Skills required: Photoshop, Java. Stipend ₹10000.",genuine
7,"Looking for interns at TechVision in Graphic Designer. Paid internship (₹8000) for 2 months, requires Java, SQL.",genuine
8,"Internship opportunity at Reliance for Data Analyst. Duration 1 month, stipend ₹8000, requires skills in Excel, Python.",genuine
9,"Reliance offers an exciting 6 weeks internship in Web Developer. Skills required: Java, Excel. Stipend ₹15000.",genuine
10,"Reliance is offering a 3 months internship in Software Developer. Applicants should know Java, Excel. Stipend is ₹8000.",genuine
11,"Microsoft is offering a 6 weeks internship in Data Analyst. Applicants should know Python, Marketing. Stipend is ₹10000.",genuine
12,"Looking for interns at Wipro in Graphic Designer. Paid internship (₹8000) for 6 weeks, requires Python, Java.",genuine
13,"Looking for interns at Microsoft in Graphic Designer. Paid internship (₹10000) for 1 month, requires Photoshop, Python.",genuine
14,"TCS is offering a 6 weeks internship in Software Developer. Applicants should know Python, Excel. Stipend is ₹5000.",genuine
15,"Looking for interns at TechVision in Marketing Intern. Paid internship (₹15000) for 2 months, requires Marketing, Python.",genuine
16,"EduCorp offers an exciting 2 months internship in Graphic Designer. Skills required: Excel, SQL. Stipend ₹8000.",genuine
17,"Internship opportunity at Microsoft for Web Developer. Duration 1 month, stipend ₹5000, requires skills in Excel, Java.",genuine
18,"Looking for interns at Infosys in Web Developer. Paid internship (₹5000) for 1 month, requires Photoshop, Python.",genuine
19,"Internship opportunity at TCS for Web Developer. Duration 6 weeks, stipend ₹10000, requires skills in Excel, Java.",genuine
20,"TCS is offering a 2 months internship in Graphic Designer. Applicants should know Photoshop, HTML/CSS. Stipend is ₹15000.",genuine
21,"Infosys offers an exciting 3 months internship in Software Developer. Skills required: SQL, Marketing. Stipend ₹5000.",genuine
22,"Internship opportunity at TechVision for Graphic Designer. Duration 2 months, stipend ₹8000, requires skills in HTML/CSS, Python.",genuine
23,"Wipro is offering a 1 month internship in Data Analyst. Applicants should know Python, Marketing. Stipend is ₹10000.",genuine
24,"EduCorp offers an exciting 2 months internship in Graphic Designer. Skills required: Marketing, HTML/CSS. Stipend ₹5000.",genuine
25,"Internship opportunity at Wipro for Software Developer. Duration 3 months, stipend ₹8000, requires skills in Java, Excel.",genuine
26,"Google is offering a 3 months internship in Marketing Intern. Applicants should know Excel, Marketing. Stipend is ₹8000.",genuine
27,"Microsoft is offering a 3 months internship in Web Developer. Applicants should know Excel, HTML/CSS. Stipend is ₹10000.",genuine
28,"Microsoft is offering a 3 months internship in Marketing Intern. Applicants should know Photoshop, Excel. Stipend is ₹10000.",genuine
29,"StartUpX is offering a 3 months internship in Marketing Intern. Applicants should know SQL, Java. Stipend is ₹5000.",genuine
30,"Internship opportunity at Reliance for Data Analyst. Duration 1 month, stipend ₹10000, requires skills in Marketing, Python.",genuine
31,"Infosys is offering a 1 month internship in Marketing Intern. Applicants should know Python, Excel. Stipend is ₹5000.",genuine
32,"EduCorp offers an exciting 2 months internship in Graphic Designer. Skills required: Photoshop, Java. Stipend ₹15000.",genuine
33,"EduCorp is offering a 6 weeks internship in Software Developer. Applicants should know HTML/CSS, Python. Stipend is ₹5000.",genuine
34,"Google is offering a 6 weeks internship in Marketing Intern. Applicants should know SQL, Python. Stipend is ₹8000.",genuine
35,"Google is offering a 1 month internship in Graphic Designer. Applicants should know Excel, SQL. Stipend is ₹10000.",genuine
36,"Looking for interns at TCS in Marketing Intern. Paid internship (₹5000) for 3 months, requires Photoshop, SQL.",genuine
37,"Looking for interns at Reliance in Graphic Designer. Paid internship (₹10000) for 2 months, requires HTML/CSS, Excel.",genuine
38,"Internship opportunity at Infosys for Software Developer. Duration 6 weeks, stipend ₹5000, requires skills in Marketing, Photoshop.",genuine
39,"Looking for interns at TCS in Graphic Designer. Paid internship (₹15000) for 1 month, requires HTML/CSS, Photoshop.",genuine
40,"Internship opportunity at Infosys for HR Intern. Duration 1 month, stipend ₹15000, requires skills in Python, Photoshop.",genuine
41,"StartUpX offers an exciting 6 weeks internship in Software Developer. Skills required: SQL, Python. Stipend ₹5000.",genuine
42,"StartUpX offers an exciting 3 months internship in Graphic Designer. Skills required: Excel, Java. Stipend ₹15000.",genuine
43,"Wipro offers an exciting 2 months internship in Web Developer. Skills required: Java, Python. Stipend ₹5000.",genuine
44,"TCS offers an exciting 6 weeks internship in HR Intern. Skills required: SQL, Python. Stipend ₹5000.",genuine
45,"Internship opportunity at Google for Web Developer. Duration 1 month, stipend ₹5000, requires skills in Marketing, Java.",genuine
46,"Internship opportunity at Google for Data Analyst. Duration 6 weeks, stipend ₹8000, requires skills in Excel, Marketing.",genuine
47,"Internship opportunity at TCS for Marketing Intern. Duration 2 months, stipend ₹10000, requires skills in SQL, Excel.",genuine
48,"Google offers an exciting 3 months internship in Data Analyst. Skills required: HTML/CSS, Marketing. Stipend ₹15000.",genuine
49,"TechVision is offering a 1 month internship in Web Developer. Applicants should know Excel, Marketing. Stipend is ₹5000.",genuine
50,"Looking for interns at TCS in Graphic Designer. Paid internship (₹5000) for 6 weeks, requires Python, Java.",genuine
51,"Google offers an exciting 6 weeks internship in Marketing Intern. Skills required: Marketing, Python. Stipend ₹8000.",genuine
52,"Google is offering a 1 month internship in Marketing Intern. Applicants should know Excel, Java. Stipend is ₹5000.",genuine
53,"Looking for interns at Wipro in Marketing Intern. Paid internship (₹10000) for 6 weeks, requires HTML/CSS, Excel.",genuine
54,"Wipro offers an exciting 2 months internship in Web Developer. Skills required: Marketing, Python. Stipend ₹10000.",genuine
55,"TCS is offering a 6 weeks internship in Data Analyst. Applicants should know Python, Java. Stipend is ₹8000.",genuine
56,"Looking for interns at Wipro in HR Intern. Paid internship (₹15000) for 6 weeks, requires SQL, Marketing.",genuine
57,"Looking for interns at Wipro in Web Developer. Paid internship (₹10000) for 1 month, requires Photoshop, Marketing.",genuine
58,"Wipro is offering a 1 month internship in HR Intern. Applicants should know Python, HTML/CSS. Stipend is ₹5000.",genuine
59,"Looking for interns at Reliance in Graphic Designer. Paid internship (₹10000) for 2 months, requires Python, Photoshop.",genuine
60,"Google is offering a 3 months internship in HR Intern. Applicants should know Excel, Photoshop. Stipend is ₹8000.",genuine
61,"Internship opportunity at Google for Data Analyst. Duration 3 months, stipend ₹10000, requires skills in HTML/CSS, SQL.",genuine
62,"Looking for interns at Microsoft in Graphic Designer. Paid internship (₹8000) for 3 months, requires Java, Marketing.",genuine
63,"Reliance offers an exciting 2 months internship in Marketing Intern. Skills required: HTML/CSS, Marketing. Stipend ₹15000.",genuine
64,"Looking for interns at Infosys in Software Developer. Paid internship (₹8000) for 1 month, requires Photoshop, Marketing.",genuine
65,"Looking for interns at Infosys in Marketing Intern. Paid internship (₹8000) for 1 month, requires Marketing, SQL.",genuine
66,"Microsoft offers an exciting 2 months internship in Data Analyst. Skills required: Excel, Java. Stipend ₹5000.",genuine
67,"Internship opportunity at Wipro for Marketing Intern. Duration 6 weeks, stipend ₹15000, requires skills in Marketing, Java.",genuine
68,"Internship opportunity at Microsoft for Marketing Intern. Duration 3 months, stipend ₹10000, requires skills in Marketing, HTML/CSS.",genuine
69,"StartUpX is offering a 3 months internship in Software Developer. Applicants should know Photoshop, Java. Stipend is ₹15000.",genuine
70,"Microsoft offers an exciting 1 month internship in Graphic Designer. Skills required: Excel, Marketing. Stipend ₹5000.",genuine
71,"TCS offers an exciting 6 weeks internship in Graphic Designer. Skills required: SQL, Python. Stipend ₹5000.",genuine
72,"StartUpX offers an exciting 3 months internship in Software Developer. Skills required: Marketing, HTML/CSS. Stipend ₹8000.",genuine
73,"Reliance is offering a 1 month internship in Software Developer. Applicants should know Java, HTML/CSS. Stipend is ₹10000.",genuine
74,"Looking for interns at Wipro in HR Intern. Paid internship (₹8000) for 2 months, requires HTML/CSS, Marketing.",genuine
75,"Internship opportunity at TCS for Web Developer. Duration 6 weeks, stipend ₹15000, requires skills in Marketing, SQL.",genuine
76,"Microsoft offers an exciting 3 months internship in Web Developer. Skills required: SQL, Marketing. Stipend ₹10000.",genuine
77,"Looking for interns at EduCorp in Web Developer. Paid internship (₹8000) for 1 month, requires Python, SQL.",genuine
78,"Google offers an exciting 2 months internship in Web Developer. Skills required: SQL, Marketing. Stipend ₹8000.",genuine
